;Nom_Oferta;Empresa;Ubicació;Temps_Oferta;Horari
0;Data Scientist;Mediktor;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa
1;Analista de datos;Gift Campaign;Barcelona, Cataluña, España;hace 6 días;Jornada completa
2;Científico de datos;KH Lloreda;Canovelles, Cataluña, España;hace 2 días;Jornada completa
3;Data Scientist;ByRatings;Barcelona, Cataluña, España;hace 3 meses;Jornada completa
4;Data Governance Analyst;Zurich Insurance;Barcelona, Cataluña, España;hace 5 horas;Jornada completa · Intermedio
5;Data Analyst, CO Business Reporting & Analytics;Meta;España;hace 10 horas;Jornada completa
6;Data Scientist – Marketing & Network Analytics;King;Barcelona, Cataluña, España;hace 1 semana;Jornada completa
7;Principal Applied & Data Scientist;Microsoft;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa
8;Analista de Datos Power BI.;Onclusive;Barcelona, Cataluña, España;hace 4 días;Jornada completa · Algo de responsabilidad
9;Game Data Scientist/Analyst - Barcelona Gaming Giant;Touchpoint Resource Ltd;Barcelona, Cataluña, España;hace 1 mes;Jornada completa · Intermedio
10;Gerente de Auditoría de sistemas de información y analista de datos;Grant Thornton España;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Intermedio
11;Data Analyst;SDG Group Iberia;Barcelona, Cataluña, España;hace 3 horas;Jornada completa · Sin experiencia
12;Pricing Data Analyst;MANGO;Palau-solità i Plegamans, Cataluña, España;hace 3 semanas;Jornada completa · Sin experiencia
13;Global Analytics, Data and Automation Scientist;Alcon;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Sin experiencia
14;Data Scientist;Ocado Technology;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Sin experiencia
15;Data Scientist, Software Development-ESP;CloudBlue;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
16;Data Scientist - Digital Finance Hub;Novartis España;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Algo de responsabilidad
17;Data Scientist;Chi Square Analytics;Barcelona, Cataluña, España;hace 1 semana;50.000 £/yr - 65.000 £/yr · Jornada completa · Intermedio
18;Advanced Analytics Analyst;Sanofi;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Intermedio
19;Data Analyst - Routing (GlovoMaps);Glovo;Barcelona, Cataluña, España;hace 3 días;Jornada completa · Sin experiencia
20;Data Scientist;Siemens Energy;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
21;Product Data Scientist;Preply;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Intermedio
22;Data Scientist (m/f/d);ZF Group;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Sin experiencia
23;Data Scientist;eDreams ODIGEO;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Sin experiencia
24;Data Scientist;Kraz (Viko Group);Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Intermedio
25;Data & Applied Scientist II - WebXT;Microsoft;Barcelona, Cataluña, España;hace 5 días;Jornada completa
26;Data Scientist - Eternal Games;King;Barcelona, Cataluña, España;hace 1 semana;Jornada completa
27;Global Analytics, Data and Automation Scientist;Alcon;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Sin experiencia
28;Data Scientist;Sanofi;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Intermedio
